Name,Level,Other_Title
Universidad de Burgos,Other identified publication channels,
Instytut Maszyn Przepływowych PAN,Other identified publication channels,
Česká zemědělská univerzita v Praze,Other identified publication channels,Czech University of Life Sciences Prague;
Konya Teknik Üniversitesi,Other identified publication channels,
Society of mathematics education,Other identified publication channels,
Lithuanian National Museum of Art,Other identified publication channels,Lietuvos nacionalinis dailės muziejus
Karadeniz Teknik Üniversitesi,Other identified publication channels,Karadeniz technical university;
Skifiya-print,Other identified publication channels,Скифия-принт;
Moscow State Institute of International Relations,Other identified publication channels,Одинцовский филиал МГИМО МИД России;
Тomsk State University,Other identified publication channels,
Mazharov Roman Aleksandrovich,Other identified publication channels,
St. Petersburg State University of Economics,Other identified publication channels,St. Petersburgskij gosudarstvenny`j e`konomicheskij universitet
Ural`skij gosudarstvenny`j pedagogicheskij universitet,Other identified publication channels,
E`kolit,Other identified publication channels,
Echelle-1,Other identified publication channels,
Gito Gesellschaft für industrielle Informationstechnik und Organisation mbH,Other identified publication channels,
Université de Liège,Other identified publication channels,ULiège Library
Metal Powder Industries Federation,Other identified publication channels,
AIRCC publishing corporation,Other identified publication channels,Wireilla Net Solutions
International microelectronics and packaging society UK,Other identified publication channels,IMAPS UK
Suomen automaatioseura,Other identified publication channels,Suomen automaatioseura ry
Jakajima,Other identified publication channels,Jakajima b.v.
Università del Salento,Other identified publication channels,ESE - Salento University Publishing
"Will-Zocholl, Mascha, Prof. und Annette Kämpf-Dern",Other identified publication channels,
International society for music information retrieval,1,
Atlas akademi,Other identified publication channels,
Nobuko,Other identified publication channels,
Leibniz-Institut für Deutsche Sprache,1,
Quae,Other identified publication channels,
Artifex,Other identified publication channels,
European law institute,1,
The Eriskay connection,Other identified publication channels,
Memorial university of Newfoundland,Other identified publication channels,
Museu Marítim de Barcelona,Other identified publication channels,
Meson press,1,
Idryma Onasi : stegi grammaton kai technon,Other identified publication channels,Onassis Foundation
Turgut ozal education,Other identified publication channels,
Prognostics & health management society,Other identified publication channels,
Technische Universitaet Wien Universitaetsbibliothek,Other identified publication channels,
Rombach Wissenschaft,Other identified publication channels,
Food studies press,Other identified publication channels,
"Jentzsch-Cuvillier, Annette",Other identified publication channels,Cuvillier Verlag
Mercatorfonds,Other identified publication channels,
Donzelli editore,Other identified publication channels,
Consulta online,1,
Düsseldorf university press,1,Düsseldorf university press. in Walter de Gruyter GmbH
Editorial Graó,Other identified publication channels,
Il calamo,Other identified publication channels,
Oriental institute of the university of Chicago,1,
Aptor software,Other identified publication channels,
Carus books,Other identified publication channels,
Atlas bokförlag,Other identified publication channels,
Editora da universidade federal de Uberlândia,1,EDUFU
University press Bologna,Other identified publication channels,Bologna University Press
Ethics international press,Other identified publication channels,
Eino Roiha -säätiö,Other identified publication channels,
Udruženje za pravo osiguranja Srbije,Other identified publication channels,Association for Insurance Law of Serbia
Sankei-sha,Other identified publication channels,
Fondazione politecnico di Milano,Other identified publication channels,
Vidzemes augstskola,Other identified publication channels,Vidzeme University of Applied Sciences
Verein für Betriebswirtschaftlichen Wissenstransfer des Fachbereichs Betriebswirtschaft e.V.,Other identified publication channels,Würzburg International Business Press
Kungl. Tekniska högskolan i Stockholm (KTH),Other identified publication channels,
Pimenta cultural,Other identified publication channels,
Risto Willamo,Other identified publication channels,
EMC Imprint,Other identified publication channels,
Dr. Manisha Basumondal,1,
Eudeba,Other identified publication channels,
Manucius,Other identified publication channels,
Euran kunta,Other identified publication channels,
Nammo Vihtavuori Oy,Other identified publication channels,
"Bölcsészettudományi Kutatóközpont, Irodalomtudományi Intézet",Other identified publication channels,
International society of information fusion,Other identified publication channels,
Epe association,1,European Power Electronics and Drives Association
Aesthetica editore,Other identified publication channels,
Hertervig forlag,Other identified publication channels,
LSE Press,Other identified publication channels,
Volumina.pl Daniel Krzanowski,Other identified publication channels,
Rio kulturlandskapet,Other identified publication channels,Kulturlandskapet
Akademie věd České republiky : Ústav teoretické a aplikované mechaniky,Other identified publication channels,"Institute of Theoretical and Applied Mechanics, Czech Academy of Sciences"
EPFL-CCLab : Composite construction laboratory,Other identified publication channels,
Ivi,Other identified publication channels,HBH Books
Nasjonalbiblioteket,Other identified publication channels,
Mieroszewski Centre,Other identified publication channels,The Centre for Polish-Russian Dialogue and Understanding
Editions Mergoil,Other identified publication channels,
"Idensitat, Associació d'Art Contemporani",Other identified publication channels,
ISTE Editions,Other identified publication channels,
Filmarchiv Austria,Other identified publication channels,
Luther-Agricola-Seura,1,Luther-Agricola Society; Luther-Agricola-Gesellschaft;
Ulkomaanlehtoriyhdistys ry,Other identified publication channels,
The digital press at the university of North Dakota,Other identified publication channels,
Petra,Other identified publication channels,
Ch. Links Verlag : ein Imprint von Aufbau Verlage,Other identified publication channels,
Tarbiyat Modarres University,Other identified publication channels,
Igaku shoin,Other identified publication channels,
Maciej Oczak,Other identified publication channels,
Echelle-1,Other identified publication channels,
Editorial hypermedia,Other identified publication channels,
Northwestern university libraries,Other identified publication channels,
NT klasika,Other identified publication channels,
Rio Book´s,Other identified publication channels,
Hugo Valentin-centrum,Other identified publication channels,
Kültür ve Turizm Bakanlığı,Other identified publication channels,
Revistia,Other identified publication channels,
The encyclopedia of China publishing house,Other identified publication channels,
Negah-e Moaser,Other identified publication channels,
Çanakkale Kitaplığı,Other identified publication channels,
"Wolkersdorfer, Karoline : wolke events",Other identified publication channels,
Gosudarstvenny`j institut russkogo yazy`ka im. A.S.Pushkina,Other identified publication channels,
Sociedad Española de Ciencias Forestales,1,
Garnet Education,Other identified publication channels,
Erim Vatansever,Other identified publication channels,
Maciej Oczak,Other identified publication channels,
Studiecentrum voor Kernenergie,Other identified publication channels,
Hong Duc publishing house,Other identified publication channels,
L3 Soluções em tecnologia ltda,Other identified publication channels,
Svoe izdatel`stvo,Other identified publication channels,
Pilares D'Elegância LDA,Other identified publication channels,
British institute of non-destructive testing,1,
Yıldız Teknik Üniversitesi,Other identified publication channels,
Sistema solar,Other identified publication channels,
AEDAM musicae,Other identified publication channels,
Filozofski fakultet - Izdavačka delatnost,Other identified publication channels,
Mehmet Akif Ezan,Other identified publication channels,
International platform of jurists for East Timor,Other identified publication channels,
Herne,Other identified publication channels,Éditions de L'Herne
Vladimirskij gosudarstvenny`j universitet,Other identified publication channels,Vladimir's State University
Editorial Aranzadi,Other identified publication channels,
sdvig press,1,
Ru-Science,Other identified publication channels,
Libera università di Bolzano,Other identified publication channels,
Bayshop (Generis publishing),Other identified publication channels,
Huazhong university of science and technology press,Other identified publication channels,
Labour publishing house,Other identified publication channels,
Adults learning mathematics,1,
New Mexico geological society,Other identified publication channels,
The academy of global business research and practice,Other identified publication channels,
SacraSage press,Other identified publication channels,
Editora Artemis,Other identified publication channels,
Guillermo Escolar Editor,Other identified publication channels,
Productivity press,Other identified publication channels,
Ionio Panepistimio,Other identified publication channels,Ionian University
IFRI,Other identified publication channels,French Institute of International Relations
Studium,Other identified publication channels,Studium Editore
The WAC Clearinghouse,Other identified publication channels,
Heibonsha,Other identified publication channels,
East China normal university press,Other identified publication channels,
Nammo Lapua Oy,Other identified publication channels,
Instituto de literatura comparada Margarida Losa,Other identified publication channels,
Av Edition,Other identified publication channels,
CLEUP,Other identified publication channels,Cooperativa Libraria Editrice Università di Padova
Paradigma akademi yayınevi,Other identified publication channels,
ISPIM Oy,Other identified publication channels,
Iuorio Edizioni,Other identified publication channels,
Nurmeksen kaupunki,Other identified publication channels,
Krakowski instytut prawa karnego fundacja,Other identified publication channels,
Jovene editore,Other identified publication channels,
Det teologisk fakultet : afdeling for bibelsk eksegese,Other identified publication channels,
Freie Universität Berlin : Institut für Publizistik- und Kommunikationswissenschaft,Other identified publication channels,
Universidad Sergio Arboleda,Other identified publication channels,
University of Huddersfield,Other identified publication channels,
Aristoteleio Panepistimio Thessalonikis,Other identified publication channels,Aristotle University of Thessaloniki
Middlesex university,Other identified publication channels,
Generalitat de Catalunya,Other identified publication channels,
Föreningen mediehistoriskt arkiv,1,
Monetary and economic research center,Other identified publication channels,
Editora Inovar,Other identified publication channels,
Institute of economic affairs,Other identified publication channels,
Gävle university press,Other identified publication channels,
Kregel publications,Other identified publication channels,
Demeter press,Other identified publication channels,
Monthly review press,Other identified publication channels,
Universidad de Nariño,Other identified publication channels,
EdUFSCar,1,EdUFSCar : Editora da Universidade Federal de São Carlos
Aspekt press,Other identified publication channels,
Társadalomtudományi Kutatóközpont,Other identified publication channels,
Rasananda Barik,Other identified publication channels,
Decibel new music,Other identified publication channels,
Pearson,Other identified publication channels,
Inkoma,Other identified publication channels,
Santa Casa da misericórdia Lisboa,Other identified publication channels,
Österreichische Gesellschaft für Geomechanik,Other identified publication channels,Austrian society for geomechanics
European geothermal energy council,Other identified publication channels,EGEC
ICMSA,Other identified publication channels,
Retorika A,Other identified publication channels,
Politica,Other identified publication channels,
Suomalainen metodologiayhdistys,Other identified publication channels,
Dora yayıncılık,Other identified publication channels,Dora publishing
Óbudai egyetem,Other identified publication channels,Óbuda university
Detay anatolia akademik yayıncılık,Other identified publication channels,
Red española de filosofía - laboratorio filosófico de la pandemia y el antropoceno,Other identified publication channels,
American fisheries society,Other identified publication channels,
FedOAPress,1,Federico II University Press
Historia et ius,1,
Viestintätoimisto Kirjokansi,Other identified publication channels,
UNIPA Press,Other identified publication channels,Palermo university press
Gozdarski inštitut Slovenije : Silva Slovenica,Other identified publication channels,Slovenian forestry institute
Politecnico di Milano,Other identified publication channels,
Diethnes panepistimio tis Ellados,Other identified publication channels,International hellenic university
Udruženje hrvatskih arhitekata,Other identified publication channels,Croatian architects’ association
Nota,Other identified publication channels,
Editura politehnica,Other identified publication channels,
Kobundo,Other identified publication channels,Koubundo
Ampyx-Verlag,Other identified publication channels,"Stark, Andreas, Dr.. Ampyx-Verlag"
Luigi Pellegrini editore,Other identified publication channels,
CEU Press,1,
Ludwig-Maximilians-Universität München : Universitätsbibliothek,Other identified publication channels,
Liberà Università Maria SS. Assunta : LUMSA,Other identified publication channels,LUMSA university
MTA matematikai kutatóintézet,Other identified publication channels,Alfréd Rényi institute of mathematics
Osder publications,Other identified publication channels,
Florida state open publishing,Other identified publication channels,
Fakultet muzičke umetnosti,Other identified publication channels,
Nova univerza,Other identified publication channels,
Galaad Edizioni,Other identified publication channels,
Prasad Balan Iyer,Other identified publication channels,
Ekta books distributers,Other identified publication channels,
Pechatny`j mir g. Xanty`-Mansijsk,Other identified publication channels,
The architecture observer,Other identified publication channels,
Hollitzer Wissenschaftsverlag,Other identified publication channels,
Editora científica digital,Other identified publication channels,
Società romana di storia patria,Other identified publication channels,
Wedge entomological research foundation,Other identified publication channels,
University of London press,1,
Wydawnictwo politechniki Łódzkiej,Other identified publication channels,
Christian-Albrechts-Universität zu Kiel,Other identified publication channels,Universitätsverlag Kiel : Kiel University Publishing
Vytauto Didžiojo universitetas,Other identified publication channels,
Ekdotikos oikos Melissa,Other identified publication channels,
Mongolian academy of sciences : the institute of language and literature,Other identified publication channels,
Puppa,Other identified publication channels,Presses Universitaires de Pau et des Pays de l’Adour
"Röll, J.H.",Other identified publication channels,
Japan society of mechanical engineers,Other identified publication channels,JSME
Canut yayinevi,Other identified publication channels,
Rootroo Oy,Other identified publication channels,
Arheološki institut,Other identified publication channels,
PATT40 Liverpool 2023,Other identified publication channels,
Marcello Messina,Other identified publication channels,
12 Levha,Other identified publication channels,
Narcea,Other identified publication channels,"Narcea, S.A. de Ediciones"
Mikael Agricola -seura,Other identified publication channels,
Vakgr Maatsch Gezondh,Other identified publication channels,Universiteit Gent
"Universiteti ""Polis""",Other identified publication channels,
Erol Kurt,Other identified publication channels,
Research Institute of Sweden (RISE),Other identified publication channels,
American educational research association,Other identified publication channels,
Fundación CIDOB,Other identified publication channels,
El Colegio de México,Other identified publication channels,
Spector books,Other identified publication channels,
Common ground research networks,1,
Polska akademia nauk,Other identified publication channels,
Marcianum press,Other identified publication channels,
Seinäjoen kaupunki,Other identified publication channels,
Shanghai scientific & technical publishers,Other identified publication channels,
Council for creative education,Other identified publication channels,
Sidney da Silva Facundes,Other identified publication channels,
Asociación Española de dirección e ingeniería de proyectos,Other identified publication channels,
Suomen audiologian yhdistys ry,Other identified publication channels,
Panepistimio patron,Other identified publication channels,
Canadian nuclear society,Other identified publication channels,Société nucléaire canadienne
Hrvatsko nuklearno društvo,Other identified publication channels,
Fundación Española de historia moderna,Other identified publication channels,
Statsbiblioteket,Other identified publication channels,
EurAAP,Other identified publication channels,European association on antennas and propagation
ASHRAE,Other identified publication channels,"American society of heating, refrigerating and air-conditioning engineers"
Ar/Dé,Other identified publication channels,École des Arts Décoratifs
Otto-Friedrich-Universität Bamberg : University of Bamberg Press,Other identified publication channels,
Kent LTD : Doszhan,Other identified publication channels,
Huoltaja-säätiö,Other identified publication channels,
Edizioni nuova cultura,Other identified publication channels,
European grassland federation,Other identified publication channels,
Corporación universitaria Minuto de Dios,Other identified publication channels,
Performance research books,1,PR books
The society for geology applied to mineral deposits,Other identified publication channels,
Liturgical press,Other identified publication channels,
Morfem,Other identified publication channels,
UGent,Other identified publication channels,UGent faculty of engineering and architecture department of information technology (INTEC) URSI
Eesti mälu instituut,Other identified publication channels,
Colegio federado de ingenieros y de arquitectos,Other identified publication channels,
"Bedregal Villanueva, Juan Francisco",Other identified publication channels,Plural editores
Aalborg university : open publishing,1,
Háskóli Íslands,Other identified publication channels,
Asia-Pacific association for machine translation,Other identified publication channels,
Milli savunma üniversitesi rektörlüğü,Other identified publication channels,
Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration,Other identified publication channels,
Muzeum Narodowe w Szczecinie,Other identified publication channels,
Edinburgh Napier university,Other identified publication channels,
European control association,Other identified publication channels,
EuroFM,Other identified publication channels,
Polskie towarzystwo bezpieczeństwa i niezawodności,Other identified publication channels,Polish safety and reliability association
Lejand yayincilik,Other identified publication channels,
European association for machine translation,Other identified publication channels,
Nizhegorodskij gosudarstvenny`j lingvisticheskij universitet im. N.A.Dobrolyubova,Other identified publication channels,
American society of agricultural & biological engineers,1,
Znanstvenoraziskovalni center SAZU,Other identified publication channels,
Musiikkiarkiston kannatusyhdistys,Other identified publication channels,Musiikkiarkisto
Von Gunten & Co. AG buch & netz,Other identified publication channels,
Resource ets,Other identified publication channels,
Taylor's university,Other identified publication channels,
Dublin institute for advanced studies,Other identified publication channels,
Emakeele selts,Other identified publication channels,
Hucitec editora,Other identified publication channels,
Potsdam Universitätsverlag,1,Universitätsverlag Potsdam;Universität Potsdam;
Presses universitaires Blaise Pascal,1,Presses de l’Université Blaise Pascal;
Processeng engineering,Other identified publication channels,
Pskovskii gosudarstvenny`i pedagogicheskii universitet imeni s. m. kirova,Other identified publication channels,
Éditions de la Sorbonne,Other identified publication channels,
Redleaf press,Other identified publication channels,
Research-publishing.net,Other identified publication channels,
Rollespilsakademiet,Other identified publication channels,
Satakunnan ammattikorkeakoulu,Other identified publication channels,
Savukeidas,Other identified publication channels,Savukeidas Kustannus;Kustannusosakeyhtiö Savukeidas;
Shipra publications,Other identified publication channels,
Social Sciences Academic Press,1,
Statens offentliga utredningar,Other identified publication channels,SOU;
Studia academica slovaca,Other identified publication channels,
Summa,Other identified publication channels,Kustannusosakeyhtiö Summa;
Satakunnan historiallinen seura ry,Other identified publication channels,Satakunnan historiallinen seura;
Suomen jazz & pop arkisto,Other identified publication channels,JAPA;
Svenska kyrkohistoriska föreningen,Other identified publication channels,
Tallinna ülikool,Other identified publication channels,Tallinn University;
Tammi,Other identified publication channels,Kustannusosakeyhtiö Tammi;
Tampereen kaupunki,Other identified publication channels,
Tartu ülikooli kirjastus,1,Tartu University Press;University of Tartu Press;
Warburg institute,Other identified publication channels,
Trans Tech Publications,1,
United states department of agriculture forest service,Other identified publication channels,USDA;
United nations,Other identified publication channels,
Universidad de deusto,Other identified publication channels,University of Deusto;
University of Ljubljana,Other identified publication channels,Univerza v Ljubljani;Fakulteta za družbene vede;
University of Notre Dame Press,1,
"Institutionen för nordiska språk, Uppsala universitet",1,
African Sun Media,1,Sun Press;
Utet,Other identified publication channels,
W. bertelsmann verlag,Other identified publication channels,
Verlag Bauer & Raspe,Other identified publication channels,
Verlag der carl friedrich von wiezsäcker stiftung,Other identified publication channels,
Wunderkammer press,Other identified publication channels,
Wydawnictwa uniwersytetu warszawskiego,Other identified publication channels,
Väestöliitto,Other identified publication channels,
Väyläkirjat,Other identified publication channels,
Ympäristöministeriö,Other identified publication channels,
Zeta Books,1,
Nanjing university press,Other identified publication channels,
St. petersburgskij gumanitarny`j universitet profsoyuzov,Other identified publication channels,
Globe Law and Business,1,
Lapin yliopisto,Other identified publication channels,University of Lapland;
Tampereen yliopisto,Other identified publication channels,University of Tampere;Tampereen yliopiston normaalikoulu;Tampere University;
Åbo akademi,Other identified publication channels,Åbo Akademi University;Filosofi vid Åbo Akademi;
Aboa centre for economics,Other identified publication channels,
Akava,Other identified publication channels,Akava ry;
Alue- ja ympäristötutkimuksen seura ry,Other identified publication channels,
Designmuseo,Other identified publication channels,
Eläketurvakeskus,Other identified publication channels,
Filmiverkko ry,Other identified publication channels,
Finlands svenska andelsförbund,Other identified publication channels,
Fotogrammetrian ja kaukokartoituksen seura,Other identified publication channels,
Föreningen för nordisk filologi,Other identified publication channels,
Gallen-kallelan museo,Other identified publication channels,
Hallinnon tutkimuksen seura,Other identified publication channels,
Helsingin seudun liikenne -kuntayhtymä,Other identified publication channels,
Helsinki-kirjat oy,Other identified publication channels,
Hipputeos oy,Other identified publication channels,
Hämeenlinnan kaupunki,Other identified publication channels,
ICOMOSin Suomen osasto ry,Other identified publication channels,
International environmental history group,Other identified publication channels,
Juminkeko-säätiö,Other identified publication channels,
Jyväskylän ammattikorkeakoulu,Other identified publication channels,
Kansallinen sivistysliitto ry,Other identified publication channels,
Karisto oy,Other identified publication channels,
Karttakeskus oy,Other identified publication channels,
Katharos oy,Other identified publication channels,
Kauppalehti,Other identified publication channels,Kauppalehti Business Books;
Kauppatieteellinen yhdistys ry,Other identified publication channels,
Kaustisen lukio,Other identified publication channels,
Kehitysvammaliitto ry,Other identified publication channels,
Keski-suomen sukututkijat ry,Other identified publication channels,
Kirjallisuudentutkijain seura,Other identified publication channels,
Kirjallisuus- ja kulttuuriyhdistys särö ry,Other identified publication channels,
Kirkon ulkomaanapu,Other identified publication channels,
Kopijyvä,Other identified publication channels,
Kunnallisalan kehittämissäätiö,Other identified publication channels,
Kustannus oy rajalla,Other identified publication channels,
Kustannus oy uusi tie,Other identified publication channels,
Kustannusosakeyhtiö Atlasart,Other identified publication channels,
Kymenlaakson ammattikorkeakoulu,Other identified publication channels,
Lahden ammattikorkeakoulu,Other identified publication channels,
Lapin tutkimusseura ry,Other identified publication channels,
Lastenkirjainstituutti,Other identified publication channels,
Leadec leadership development center oy,Other identified publication channels,
Limor kustannus,Other identified publication channels,
Lähikuva-yhdistys,Other identified publication channels,
Maaseudun uusi aika ry,Other identified publication channels,
Metropolia ammattikorkeakoulu,Other identified publication channels,
Metsähallitus,Other identified publication channels,
Metsäntutkimuslaitos,Other identified publication channels,
Muotialan asuin- ja toimintakeskus,Other identified publication channels,
"Opetus-, kasvatus- ja koulutusalojen säätiö",Other identified publication channels,OKKA-säätiö
Oulun ammattikorkeakoulu,Other identified publication channels,
Oy valitut palat - readers digest ab,Other identified publication channels,
Parvs publishing,Other identified publication channels,Kustannusosakeyhtiö Parvs
Posiva oy,Other identified publication channels,
Prologos ry,Other identified publication channels,
Pyhäjärvi-instituutti,Other identified publication channels,
Päijät-hämeen liitto,Other identified publication channels,
Päijät-hämeen tutkimusseura ry,Other identified publication channels,
Rakennustieto oy,Other identified publication channels,
Rantasalmen ympäristökasvatusinstituutti,Other identified publication channels,
Rovaniemen ammattikorkeakoulu,Other identified publication channels,
Saarijärvi-seura r.y.,Other identified publication channels,
Saksalainen kirjastoyhdistys ry,Other identified publication channels,
Satakuntaliitto,Other identified publication channels,
Savon koulutuskuntayhtymä,Other identified publication channels,
Savon sotilasperinneyhdistys porrassalmi r.y.,Other identified publication channels,
Sibelius-Akatemia,Other identified publication channels,
Sievin kunta,Other identified publication channels,
Siy sisäilmatieto oy,Other identified publication channels,
Sosiaali- ja terveysministeriö,Other identified publication channels,
Sosiaali- ja terveysturvan keskusliitto,Other identified publication channels,
Sosiaalityön tutkimuksen seura,Other identified publication channels,
Suojärven pitäjäseura,Other identified publication channels,
Suomen ainedidaktinen tutkimusseura,Other identified publication channels,
Suomen antropologinen seura,Other identified publication channels,
Suomen arkeologinen seura,Other identified publication channels,
Suomen geoteknillinen yhdistys ry,Other identified publication channels,
Suomen historiallinen seura ry,Other identified publication channels,
Suomen humanistiliitto,Other identified publication channels,
Suomen kansantietouden tutkijain seura ry,Other identified publication channels,
Suomen kasvatuksen ja koulutuksen historian seura,Other identified publication channels,
Suomen kääntäjien ja tulkkien liitto ry,Other identified publication channels,
Suomen maantieteellinen seura,Other identified publication channels,
Suomen maatalousmuseo sarka,Other identified publication channels,
Suomen rakennustaiteen museo,Other identified publication channels,
Suomen rauhantutkimusyhdistys ry,Other identified publication channels,
Suomen sotatieteellinen seura ry,Other identified publication channels,
Suomen taideyhdistys,Other identified publication channels,
Suomen tilastoseura ry,Other identified publication channels,
Suomen toimikunta euroopan turvallisuuden edistämiseksi,Other identified publication channels,ETY-Yhdistys STETEn Tuki ry;
Suomen YK-liitto ry,Other identified publication channels,
Suomi-Ranska yhdistysten liiton nuorisotoimikunta ry,Other identified publication channels,Fédération des associations franco-finlandaises;
Svenska skolhistoriska föreningen i Finland rf.,Other identified publication channels,
Sylva ry,Other identified publication channels,
Tampereen ammattikorkeakoulu,Other identified publication channels,Tampere University of Applied Sciences & CRESSON;
Tekniikan historian seura ths ry,Other identified publication channels,
Teknologiainfo teknova oy,Other identified publication channels,
Teknologiateollisuus ry,Other identified publication channels,
The westermarck society ry,Other identified publication channels,
Therapeia-säätiö,Other identified publication channels,
Tilastokeskus,Other identified publication channels,
Torniolaakson neuvosto,Other identified publication channels,
Tornionlaakson maakuntamuseo,Other identified publication channels,
Turun ammattikorkeakoulu,Other identified publication channels,Turku University of Applied Sciences;
Turun historiallinen yhdistys ry,1,
Turun taidemuseo,Other identified publication channels,
Uudenmaan liitto,Other identified publication channels,
Vaasan tiedekirjasto,Other identified publication channels,
Valamon luostari,Other identified publication channels,
Valtion taloudellinen tutkimuskeskus,Other identified publication channels,
Vihreä sivistysliitto ry,Other identified publication channels,
Vuorimiesyhdistys ry,Other identified publication channels,
Yhteiset lapsemme ry,Other identified publication channels,
Aalto university executive education oy,Other identified publication channels,
Amos andersonin taidemuseo,Other identified publication channels,
"Australian government - department of innovation, industry, science and research",Other identified publication channels,
"Behrs, b., verlag gmbh & co. kg",Other identified publication channels,
Brandeis University Press,1,
Chandos,Other identified publication channels,Chandos publishing;
China architecture and building press,Other identified publication channels,China architecture & building press;China Architectrual Industry Press;
Createspace,Other identified publication channels,
Docendo,Other identified publication channels,
Eco-innovation observatory,Other identified publication channels,
Editions a. pedone,Other identified publication channels,
Editions de laube,Other identified publication channels,Éditions de l´Aube;
Éditions yvon blais,Other identified publication channels,Les Éditions Yvon Blais;
Editorial académica española,Other identified publication channels,
Ehkäisevä päihdetyö ehyt ry,Other identified publication channels,
European commission,Other identified publication channels,Office for Official Publications of the European Union;
European research institute for social work,Other identified publication channels,ERIS;
Finanssi- ja vakuutuskustannus oy finva,Other identified publication channels,Finva;
Friedrich-ebert-stiftung,Other identified publication channels,
Getsemania - Kalervo Palsan Ystävät ry,Other identified publication channels,
International council for research and innovation in building and construction,Other identified publication channels,CIB;
International labour organisation,Other identified publication channels,ILO;International labour office;
International monetary fund,Other identified publication channels,
Into,1,Into kustannus;
Kalevi Sorsa -säätiö,Other identified publication channels,
Karel`skij nauchny`j centr ran,Other identified publication channels,"KarNC  RAN;Карельский научный центр РАН;	 Федеральный исследовательский центр «Карельский научный центр Российской академии наук», Институт экономики КарНЦ РАН;"
Karjalan kielen seura ry,Other identified publication channels,
Kingston business school,Other identified publication channels,
Kiviteollisuusliitto ry,Other identified publication channels,
Klaip?dos universiteto leidykla,Other identified publication channels,
Kon acad wetenschappen letteren,Other identified publication channels,Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten;KVAB Press;
Kuntoutussäätiö,Other identified publication channels,
Paasilinna,Other identified publication channels,Kustannusosakeyhtiö Paasilinna;
Lahti Venture Capitals,Other identified publication channels,
Magnus publications,Other identified publication channels,
Narcissus self publishing,Other identified publication channels,
Natura optima dux Foundation,Other identified publication channels,
Nauchno-izdatelskij centr indrik,Other identified publication channels,Moskva Indrik;
Nordens välfärdscenter,Other identified publication channels,Nordic Centre for Welfare and Social Issues;NVC;
Now publishers,Other identified publication channels,
Petrozavodskij gosudarstvenny`j universitet,Other identified publication channels,University of Petrozavodsk;Izdatel´stvo PetrGU;
Psychiatria Fennica oy,Other identified publication channels,
Renome,Other identified publication channels,
Research institute for a tobacco free society (riftfs),Other identified publication channels,RIFTFS;
Seinäjoen ammattikorkeakoulu,Other identified publication channels,
Serus oy,Other identified publication channels,
Sos-lapsikylä ry,Other identified publication channels,
Suomen pankki,Other identified publication channels,
Suomen pelastusalan keskusjärjestö ry,Other identified publication channels,
Työtehoseura ry,Other identified publication channels,
Ulster institute for social research,Other identified publication channels,
Juvenes print,Other identified publication channels,Suomen yliopistopaino oy;
K&h-kustannus,Other identified publication channels,
Gower,1,
"Akademia muzyczna im. karola lipi?skiego, rada biblioteczno-wydawnicza",Other identified publication channels,
Black Dog Press,Other identified publication channels,Black Dog PublishingBlack Dog Publishing;
Univerza na primorskem,Other identified publication channels,
Veritas,Other identified publication channels,Veritas publications;
Kustannusosakeyhtiö Medicina oy,Other identified publication channels,Medicina;
KMK scientific press,Other identified publication channels,Tovarishhestvo nauchny`x izdanij KMK
Battlebridge publications,Other identified publication channels,
Jelenkor kiadó,Other identified publication channels,Jelenkor Publishing House;
Kustannus oy Maamerkki,Other identified publication channels,
Mirovni institut,Other identified publication channels,Peace Institute;
Tieteentekijöiden liitto,Other identified publication channels,
Eesti kunstimuuseum,Other identified publication channels,Art Museum of Estonia;
IATEFL,Other identified publication channels,International Association of Teachers of English as a Foreign Language;
Maa- ja metsätalousministeriö,Other identified publication channels,
Lurra editions,Other identified publication channels,
Epubli : ein Imprint der Neopubli,Other identified publication channels,
Akademika forlag,1,Akademika publisching;
Baltic university press,Other identified publication channels,"The Baltic University Programme, Uppsala University;"
Verlag für Gesprächsforschung,Other identified publication channels,
Pontifical institute of mediaeval studies,Other identified publication channels,
"Akademia ekonomiczna im. Karola Adamieckiego, Wydawnictwo Uczelniane",Other identified publication channels,Uniwersytet Ekonomiczny w Katowicach;University of Economics in Katowice;
Whiting & Birch,Other identified publication channels,
Suomen museoliitto ry,Other identified publication channels,
Tilde university press,Other identified publication channels,
Stichting Werkgroep Adelsgeschiednis,Other identified publication channels,
Kampus kustannus,Other identified publication channels,
Ensi- ja turvakotien liitto,Other identified publication channels,
Salem Press,Other identified publication channels,
Teatterimuseo,Other identified publication channels,
Nordic Council of Ministers,Other identified publication channels,Nordisk ministerråd;
Open book publishers,1,
Thelem,Other identified publication channels,
Mediapinta,Other identified publication channels,Mediapinta Oy;
V & R Unipress,1,Vandenhoeck & Ruprecht;
Joensuun taidemuseo,Other identified publication channels,
WHO regional office for Europe,Other identified publication channels,WHO;
Sammakko,Other identified publication channels,Kustannusosakeyhtiö Sammakko;
Edições pedago,Other identified publication channels,Edições Pedag Ltd;
Lars Müller publishers,Other identified publication channels,
Vilnius university,Other identified publication channels,Vilniaus universiteto leidykla
Alinea editrice,Other identified publication channels,
CERN - the European Organization for Nuclear Research,Other identified publication channels,CERN;
Arctic monitoring and assessment programme,Other identified publication channels,
